location,total_reviews,accessibility_positive_pct,accessibility_negative_pct,accessibility_neutral_pct,facility_positive_pct,facility_negative_pct,facility_neutral_pct,activity_positive_pct,activity_negative_pct,activity_neutral_pct,cluster
Sarae Hills,952,5.777310924369748,7.9831932773109235,86.23949579831933,21.638655462184875,15.65126050420168,62.71008403361344,63.13025210084034,9.34873949579832,27.521008403361346,0
Gunung Putri Lembang,943,12.937433722163307,4.453870625662779,82.6086956521739,9.862142099681867,12.725344644750795,77.41251325556733,63.3085896076352,2.2269353128313893,34.4644750795334,1
Curug Maribaya,937,3.2017075773745995,7.150480256136606,89.64781216648879,8.217716115261473,23.372465314834578,68.40981856990395,53.255069370330844,19.423692636072573,27.321237993596586,0
Gunung Tangkuban Parahu,925,11.243243243243244,2.7027027027027026,86.05405405405405,30.270270270270274,11.783783783783784,57.945945945945944,41.945945945945944,2.4864864864864864,55.567567567567565,1
Stone Garden,914,3.8293216630196936,19.037199124726477,77.13347921225383,10.393873085339168,14.87964989059081,74.72647702407002,67.17724288840262,3.938730853391685,28.88402625820569,1
Floating Market Lembang,911,2.0856201975850714,2.0856201975850714,95.82875960482986,35.12623490669594,9.001097694840835,55.87266739846323,58.397365532382,1.3172338090010975,40.28540065861691,0
Terminal Wisata Grafika Cikole,900,1.1111111111111112,2.7777777777777777,96.11111111111111,47.22222222222222,12.88888888888889,39.88888888888889,67.22222222222223,4.555555555555555,28.22222222222222,0
Orchid Forest Cikole,671,2.384500745156483,12.816691505216097,84.79880774962743,54.69448584202683,13.412816691505217,31.892697466467958,81.81818181818183,8.345752608047691,9.836065573770492,0
Curug Tilu Leuwi Opat,634,8.990536277602523,15.457413249211358,75.55205047318611,19.400630914826497,15.772870662460567,64.82649842271293,59.46372239747634,8.517350157728707,32.018927444794954,1
Taman Lembah DEWATA,505,2.7722772277227725,2.376237623762376,94.85148514851485,29.9009900990099,15.049504950495049,55.049504950495056,74.45544554455445,10.099009900990099,15.445544554455445,0
Ciwangun Indah Camp (CIC),489,5.112474437627812,16.56441717791411,78.32310838445807,16.155419222903884,14.723926380368098,69.12065439672801,36.809815950920246,8.384458077709612,54.805725971370144,1
Sanghyang Heuleut,445,4.719101123595506,24.044943820224717,71.23595505617978,4.49438202247191,7.640449438202247,87.86516853932585,38.87640449438202,5.393258426966292,55.73033707865168,1
Curug Cimahi / Curug Pelangi,401,7.231920199501247,7.73067331670823,85.03740648379052,9.975062344139651,9.226932668329177,80.79800498753117,40.64837905236908,2.7431421446384037,56.60847880299252,1
Kebun Begonia Lembang,358,3.072625698324022,1.675977653631285,95.25139664804469,24.860335195530723,10.335195530726256,64.80446927374301,91.06145251396647,4.189944134078212,4.748603351955307,0
Curug Layung Camp Situ Lembang,324,2.7777777777777777,22.530864197530864,74.69135802469135,20.679012345679013,9.876543209876543,69.44444444444444,60.802469135802475,3.3950617283950617,35.80246913580247,1
Sanghyang Kenit,323,8.6687306501548,5.263157894736842,86.06811145510835,25.077399380804955,5.572755417956656,69.3498452012384,54.79876160990712,3.0959752321981426,42.10526315789473,1
Bukit Senyum,271,4.797047970479705,19.18819188191882,76.01476014760148,16.236162361623617,5.166051660516605,78.59778597785979,62.73062730627307,2.5830258302583027,34.686346863468636,1
Curug Malela,162,14.19753086419753,54.32098765432099,31.48148148148148,17.901234567901234,8.641975308641975,73.4567901234568,66.0493827160494,1.2345679012345678,32.71604938271605,1
Curug Sawer Cililin,149,3.3557046979865772,12.751677852348994,83.89261744966443,9.395973154362416,18.79194630872483,71.81208053691275,42.95302013422819,5.369127516778524,51.67785234899329,1
Taman Hutan Jayagiri Lembang,148,9.45945945945946,14.18918918918919,76.35135135135135,9.45945945945946,10.81081081081081,79.72972972972973,50.67567567567568,4.054054054054054,45.27027027027027,1
Situ Ciburuy,120,5.833333333333333,2.5,91.66666666666666,8.333333333333332,20.0,71.66666666666667,35.833333333333336,9.166666666666666,55.00000000000001,1
Curug Halimun,52,3.8461538461538463,19.230769230769234,76.92307692307693,7.6923076923076925,1.9230769230769231,90.38461538461539,44.230769230769226,0.0,55.769230769230774,1
Curug Panganten,44,9.090909090909092,25.0,65.9090909090909,6.8181818181818175,2.272727272727273,90.9090909090909,54.54545454545454,4.545454545454546,40.909090909090914,1
Gunung Hawu,29,3.4482758620689653,6.896551724137931,89.65517241379311,6.896551724137931,0.0,93.10344827586206,34.48275862068966,0.0,65.51724137931035,1
Sirtwo Island Saguling,3,0.0,0.0,100.0,0.0,0.0,100.0,66.66666666666666,0.0,33.33333333333333,1
